time,close,US02Y · TVC: close
2026-04-15,4.281,3.761
2026-04-15,4.281,3.761
2026-04-16,4.315,3.78
2026-04-16,4.315,3.78
2026-04-17,4.248,3.706
2026-04-17,4.248,3.706
2026-04-20,4.258,3.727
2026-04-20,4.258,3.727
2026-04-21,4.299,3.785
2026-04-21,4.299,3.785
2026-04-22,4.305,3.804
2026-04-22,4.305,3.804
2026-04-23,4.325,3.832
2026-04-23,4.325,3.832
2026-04-24,4.306,3.785
2026-04-24,4.306,3.785
2026-04-27,4.34,3.799
2026-04-27,4.34,3.799
2026-04-28,4.35,3.842
2026-04-28,4.35,3.842
2026-04-29,4.43,3.947
2026-04-29,4.43,3.947
2026-04-30,4.374,3.867
2026-04-30,4.374,3.867
2026-05-01,4.372,3.88
2026-05-01,4.372,3.88
2026-05-04,4.432,3.946
2026-05-04,4.432,3.946
2026-05-05,4.426,3.946
2026-05-05,4.426,3.946
2026-05-06,4.352,3.87
2026-05-06,4.352,3.87
2026-05-07,4.384,3.911
2026-05-07,4.384,3.911
2026-05-08,4.36,3.889
2026-05-08,4.36,3.889
2026-05-11,4.412,3.951
2026-05-11,4.412,3.951
2026-05-12,4.463,3.994
2026-05-12,4.463,3.994
2026-05-13,4.467,3.977
2026-05-13,4.467,3.977
2026-05-14,4.483,4.015
2026-05-14,4.483,4.015
2026-05-15,4.597,4.079
2026-05-15,4.597,4.079
2026-05-18,4.585,4.046
2026-05-18,4.585,4.046
2026-05-19,4.667,4.122
2026-05-19,4.667,4.122
2026-05-20,4.585,4.057
2026-05-20,4.585,4.057
2026-05-21,4.572,4.079
2026-05-21,4.572,4.079
2026-05-22,4.556,4.123
2026-05-22,4.556,4.123
2026-05-26,4.491,4.036
2026-05-26,4.491,4.036
2026-05-27,4.483,4.039
2026-05-27,4.483,4.039
2026-05-28,4.453,4.027
2026-05-28,4.453,4.027
2026-05-29,4.437,4.002
2026-05-29,4.437,4.002
2026-06-01,4.453,4.033
2026-06-01,4.453,4.033
2026-06-02,4.453,4.045
2026-06-02,4.453,4.045
2026-06-03,4.493,4.084
2026-06-03,4.493,4.084
2026-06-04,4.475,4.045
2026-06-04,4.475,4.045
2026-06-05,4.532,4.145
2026-06-05,4.532,4.145
2026-06-08,4.568,4.166
2026-06-08,4.568,4.166
2026-06-09,4.518,4.122
2026-06-09,4.518,4.122
2026-06-10,4.554,4.145
2026-06-10,4.554,4.145
2026-06-11,4.459,4.062
2026-06-11,4.459,4.062
2026-06-12,4.483,4.087
2026-06-12,4.483,4.087
2026-06-15,4.473,4.07
2026-06-15,4.473,4.07
2026-06-16,4.439,4.054
2026-06-16,4.439,4.054
2026-06-17,4.487,4.186
2026-06-17,4.487,4.186
2026-06-18,4.455,4.179
2026-06-18,4.455,4.179
2026-06-22,4.509,4.23
2026-06-22,4.509,4.23
2026-06-23,4.499,4.2
2026-06-23,4.499,4.2
2026-06-24,4.489,4.197
2026-06-24,4.489,4.197
2026-06-25,4.371,4.1
2026-06-26,4.376,4.096
2026-06-29,4.376,4.107
2026-06-30,4.461,4.17
2026-07-01,4.483,4.178
2026-07-02,4.485,4.137
2026-07-06,4.471,4.112
2026-07-07,4.551,4.187
2026-07-08,4.581,4.216
2026-07-10,4.561,4.212
